date,category,type,amount,description
2026-06-01,Salary,income,6000,Monthly income June 2026
2026-06-07,Food,expense,300,Khana
2026-06-08,Rent,income,6500,house rent
2026-06-30,Shopping,expense,6000,marriage shopping
2026-07-01,Salary,income,6000,monthly income july 2026
2026-07-12,Other,expense,2000,birthday
